,dataset,non_iid,aggregator,attack,fraction,accuracy_m,accuracy_s
80,adni,0,trimmedmean,signflip,0.3,0.6911594122648239,0.008930634359125911
81,adni,0,trimmedmean,unbalancedata,0.1,0.7578260898590088,0.0013187478190264
82,adni,0,fedavg,backdoor,0.1,0.9840116202831268,0.06840359135782738
83,adni,0,trimmedmean,noisedata,0.3,0.7167391330003738,0.001118373335280422
84,adni,0,fedavg,noisedata,0.1,0.7378260791301727,0.0008194374292132428
85,adni,0,median,overlapdata,0.3,0.732028990983963,0.00516551002534376
86,adni,0,fedavg,randomupdate,0.3,0.6455072313547134,0.012935166791248355
87,adni,0,median,randomupdate,0.5,0.6543478220701218,0.013812672656389968
88,adni,0,trimmedmean,overlapdata,0.1,0.746666669845581,0.0023469224254555514
89,adni,0,trimmedmean,noisedata,0.1,0.7403623312711716,0.0011123203717870798
90,adni,0,fedavg,signflip,0.1,0.3449275493621826,0.0
91,adni,0,fedavg,randomupdate,0.1,0.639202892780304,0.01621679183672192
92,adni,0,median,deletedata,0.5,0.747826099395752,0.0011604108893176867
93,adni,0,median,overlapdata,0.1,0.7400000095367432,0.0021288056596340246
94,adni,0,fedavg,unbalancedata,0.5,0.7367391139268875,0.0011919969841038764
95,adni,0,trimmedmean,randomupdate,0.3,0.7335507422685623,0.0008721841074099519
96,adni,0,krum,noisedata,0.3,0.6697825938463211,0.0010813046118124136
97,adni,0,fedavg,overlapdata,0.3,0.46594203263521194,0.008456720227839479
98,adni,0,fedavg,signflip,0.5,0.3449275493621826,0.0
99,adni,0,fedavg,overlapdata,0.5,0.4584058001637459,0.02284588360748485
