,dataset,non_iid,aggregator,attack,fraction,accuracy_m,accuracy_s
34,mnist,0,trimmedmean,unbalancedata,0.1,0.8906500041484833,0.0019047638248748681
35,mnist,0.7,median,backdoor,0.5,1.0,0.0004582516696111806
36,mnist,0.7,median,unbalancedata,0.3,0.8127749860286713,0.036103224185932856
37,mnist,0.4,fedavg,noisedata,0.3,0.8640500009059906,0.00976302468170129
38,mnist,0,trimmedmean,randomupdate,0.3,0.7741999924182892,0.007255726301351444
39,mnist,0.7,fedavg,randomupdate,0.5,0.10000000149011612,0.0002947883232438665
40,mnist,0,fedavg,randomupdate,0.5,0.10000000149011612,0.000506337212316709
41,mnist,0,median,noisedata,0.5,0.8678999841213226,0.004251746552592278
42,mnist,0,krum,overlapdata,0.5,0.84620001912117,0.01109258152029624
43,mnist,0,trimmedmean,deletedata,0.5,0.8853000104427338,0.0016192572364774013
44,mnist,0.4,median,clean,0,0.8604499995708466,0.012172196449877232
45,mnist,0,fedavg,randomupdate,0.1,0.10000000149011612,0.0028210820573531057
46,mnist,0,median,deletedata,0.3,0.8872500061988831,0.0017394246192504314
47,mnist,0,median,overlapdata,0.5,0.8847000002861023,0.002817079988135503
48,mnist,0,fedavg,unbalancedata,0.1,0.8957000076770782,0.0022325061336993454
49,mnist,0.7,krum,randomupdate,0.1,0.5659500062465668,0.0364070985838742
50,mnist,0.4,median,overlapdata,0.1,0.8549000024795532,0.014075866447327123
51,mnist,0.4,median,unbalancedata,0.1,0.8575000017881393,0.015161081951883378
52,mnist,0.7,trimmedmean,labelflip,0.5,0.567799985408783,0.1527840450134075
53,mnist,0,trimmedmean,deletedata,0.3,0.8876000195741653,0.0017455337031310491
54,mnist,0.4,fedavg,signflip,0.1,0.10000000149011612,0.0
55,mnist,0.4,krum,labelflip,0.5,0.01715000020340085,0.013041079432902867
56,mnist,0.4,trimmedmean,noisedata,0.5,0.8378499895334244,0.017185247577713336
57,mnist,0,krum,randomupdate,0.5,0.8381499946117401,0.019484574463637983
58,mnist,0.7,krum,unbalancedata,0.3,0.5997499823570251,0.05017555326418411
59,mnist,0.7,fedavg,randomupdate,0.3,0.10000000149011612,0.0002973208949408387
60,mnist,0.7,krum,backdoor,0.1,0.007000000216066837,0.01530625592415904
61,mnist,0.7,median,noisedata,0.3,0.7883000075817108,0.023844292710107247
62,mnist,0.4,krum,clean,0,0.719525009393692,0.022187368518214755
63,mnist,0.4,median,noisedata,0.1,0.856550008058548,0.012937040762057267
64,mnist,0.7,fedavg,backdoor,0.3,0.9980000257492065,0.0009165033392223611
65,mnist,0,median,signflip,0.5,0.10000000149011612,0.0
66,mnist,0.4,fedavg,overlapdata,0.5,0.870849996805191,0.014942556123104224
67,mnist,0,median,clean,0,0.8883000016212463,0.002687180666349618
68,mnist,0,trimmedmean,unbalancedata,0.3,0.8882499933242798,0.0022530843032554774
69,mnist,0.4,trimmedmean,deletedata,0.5,0.8537999987602234,0.013349194573520127
70,mnist,0.4,trimmedmean,unbalancedata,0.3,0.8546499907970428,0.01845290347285614
71,mnist,0,trimmedmean,backdoor,0.5,0.9940000176429749,0.0007582478072301992
72,mnist,0.7,median,labelflip,0.3,0.8040499985218048,0.039642713034661284
73,mnist,0.7,trimmedmean,randomupdate,0.5,0.10000000149011612,0.012614160461800819
74,mnist,0.7,krum,deletedata,0.1,0.6525000035762787,0.05986064314013461
75,mnist,0,krum,noisedata,0.1,0.8483750075101852,0.009461505718446304
76,mnist,0.7,median,labelflip,0.1,0.8357999920845032,0.03385444378594908
77,mnist,0,trimmedmean,overlapdata,0.3,0.8874500095844269,0.0031782943978433823
78,mnist,0.7,median,backdoor,0.3,1.0,0.0
79,mnist,0.4,krum,overlapdata,0.1,0.6479500234127045,0.039892575149315344
80,mnist,0.7,median,overlapdata,0.3,0.8342500030994415,0.02814953589101265
81,mnist,0.4,median,deletedata,0.5,0.8565250039100647,0.015625039181124737
82,mnist,0,median,labelflip,0.1,0.8857499957084656,0.0073848490181061925
83,mnist,0.4,fedavg,unbalancedata,0.5,0.878125011920929,0.008185643128270147
84,mnist,0.4,krum,unbalancedata,0.1,0.6928499937057495,0.04505247586332085
85,mnist,0.7,trimmedmean,deletedata,0.5,0.8096500039100647,0.016556516762336087
86,mnist,0,median,overlapdata,0.3,0.8852500021457672,0.0035841335776383224
87,mnist,0.4,fedavg,backdoor,0.1,1.0,0.0
88,mnist,0.7,krum,clean,0,0.6127000153064728,0.048702107272532234
89,mnist,0,median,signflip,0.3,0.815750002861023,0.022965755408701338
90,mnist,0.4,krum,randomupdate,0.3,0.7211500108242035,0.04637605363345019
91,mnist,0.7,krum,deletedata,0.5,0.6877249777317047,0.08389528746616336
92,mnist,0.4,median,signflip,0.3,0.10000000149011612,0.0
93,mnist,0.4,krum,signflip,0.5,0.6819999814033508,0.032573523738550526
